;Host Since;Host Response Rate;Host Verifications;Neighbourhood Group Cleansed;Longitude;Room Type;Accommodates;Bathrooms;Bedrooms;Amenities;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 30;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Calculated host listings count;Reviews per Month;Features
12868;2011-04-25;33.0;email,phone,reviews;Centro;-3.701639500197424;Entire home/apt;4;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo;185.0;200.0;30.0;4;0;3;0;;;;;;;;moderate;14.0;;Host Has Profile Pic,Is Location Exact,Requires License
439;2013-11-11;100.0;email,phone,reviews,jumio;Centro;-3.7018867830135287;Entire home/apt;4;1.0;1.0;TV,Wireless Internet,Kitchen,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hair dryer,Iron;42.0;150.0;25.0;2;10;6;25;87.0;9.0;9.0;9.0;9.0;9.0;9.0;strict;7.0;2.76;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable
7601;2015-07-15;91.0;email,phone,reviews;Centro;-3.697051194514556;Private room;2;1.0;1.0;TV,Wireless Internet,Kitchen,Smoking allowed,Heating,Family/kid friendly,Washer,First aid kit,Safety card,Essentials,Shampoo;29.0;;10.0;1;0;6;24;93.0;9.0;10.0;9.0;9.0;10.0;10.0;moderate;1.0;4.29;Host Has Profile Pic,Is Location Exact,Requires License
7311;2014-04-15;70.0;email,phone,reviews,manual_offline,jumio;Centro;-3.7070307424597364;Entire home/apt;2;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,First aid kit,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;60.0;;;2;0;8;17;99.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;4.0;5.73;Host Has Profile Pic,Host Identity Verified,Requires License,Instant Bookable
11128;2016-10-12;87.0;phone,reviews;Centro;-3.7160632433231777;Private room;2;1.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Heating,Family/kid friendly,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;40.0;;;1;0;8;14;99.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.0;2.5;Host Is Superhost,Host Has Profile Pic,Requires License,Instant Bookable
11236;2014-07-13;100.0;email,phone,reviews;Salamanca;-3.674441535504561;Private room;2;2.0;1.0;Wireless Internet,Air conditioning,Breakfast,Elevator in building,Heating,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;35.0;;;1;5;0;7;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.0;1.04;Host Has Profile Pic,Requires License
7463;2012-07-19;99.0;email,phone,reviews,jumio,government_id;Salamanca;-3.6711854679260014;Private room;2;1.0;1.0;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials;19.0;;;1;18;0;27;84.0;8.0;8.0;9.0;9.0;8.0;8.0;strict;33.0;0.48;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable,Require Guest Phone Verification
1185;2015-08-12;100.0;email,phone,reviews,jumio;Salamanca;-3.66805407186668;Entire home/apt;2;1.0;1.0;TV,Wireless Internet,Smoking allowed,Breakfast,Heating,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;75.0;150.0;40.0;2;15;9;0;;;;;;;;strict;9.0;;Host Is Superhost,Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
6039;2014-03-27;;email,phone,reviews;Centro;-3.705664505887176;Entire home/apt;3;1.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Hangers,Iron,Laptop friendly workspace;40.0;900.0;40.0;1;0;0;0;;;;;;;;flexible;1.0;;Host Has Profile Pic,Is Location Exact,Requires License
6784;2015-09-19;100.0;email,phone,reviews;Latina;-3.774863595550971;Entire home/apt;6;2.0;3.0;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Safety card,Essentials,Shampoo;65.0;150.0;;3;15;3;41;100.0;10.0;10.0;10.0;10.0;9.0;10.0;flexible;1.0;2.38;Host Is Superhost,Host Has Profile Pic,Is Location Exact,Requires License
11340;2016-03-14;100.0;email,phone;San Blas - Canillejas;-3.6206585217149247;Entire home/apt;5;2.0;1.0;TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,First aid kit,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;75.0;200.0;30.0;2;8;22;0;;;;;;;;strict;1.0;;Host Has Profile Pic,Requires License,Instant Bookable
11155;2016-03-24;90.0;email,phone,reviews,jumio,government_id,work_email;Centro;-3.7042791780043287;Private room;1;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_50;18.0;;10.0;1;0;8;16;98.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.0;2.38;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
1048;2015-09-06;75.0;email,phone,reviews,jumio,work_email;San Blas - Canillejas;-3.5816525522982365;Entire home/apt;2;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Free parking on premises,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Iron,Laptop friendly workspace;50.0;;15.0;1;0;0;7;94.0;10.0;10.0;10.0;10.0;8.0;9.0;moderate;3.0;0.37;Host Has Profile Pic,Host Identity Verified,Requires License
6753;2016-07-20;100.0;email,phone,reviews;Fuencarral - El Pardo;-3.6880760200134977;Entire home/apt;5;1.0;3.0;TV,Wireless Internet,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;50.0;150.0;;2;10;0;18;97.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.0;2.5;Host Is Superhost,Host Has Profile Pic,Is Location Exact,Requires License
2925;2015-10-01;100.0;email,phone,google,reviews,jumio,government_id;Centro;-3.7112225444414144;Entire home/apt;6;1.0;2.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Lockbox;79.0;;20.0;2;10;10;67;91.0;9.0;10.0;10.0;10.0;10.0;9.0;strict;11.0;7.2;Host Has Profile Pic,Host Identity Verified,Requires License,Instant Bookable
12175;2013-03-12;98.0;email,phone,facebook,reviews,jumio;Centro;-3.710416426955493;Entire home/apt;4;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;85.0;200.0;40.0;2;22;15;5;76.0;8.0;8.0;8.0;9.0;10.0;8.0;strict;2.0;1.5;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable,Require Guest Phone Verification
6744;2017-03-21;;email,phone;Fuencarral - El Pardo;-3.7222758306093464;Private room;1;2.0;2.0;TV,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Essentials,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,Private living room;15.0;;;1;0;0;0;;;;;;;;flexible;1.0;;Requires License,Instant Bookable
11104;2012-07-22;100.0;email,phone,reviews,jumio;Centro;-3.7105350165422455;Entire home/apt;4;1.0;0.0;TV,Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer;65.0;80.0;;2;10;2;116;96.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;5.0;2.09;Host Is Superhost,Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable,Require Guest Phone Verification
8679;2015-12-29;100.0;email,phone,reviews;Centro;-3.7091544804420544;Private room;2;1.0;1.0;TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Heating,Washer,Essentials;35.0;;;1;15;2;41;96.0;10.0;10.0;10.0;9.0;10.0;10.0;moderate;1.0;2.73;Host Is Superhost,Host Has Profile Pic,Requires License
8341;2014-12-11;89.0;email,phone,reviews;Chamberí;-3.704052539448712;Entire home/apt;9;1.5;5.0;Wireless Internet,Kitchen,Elevator in building,Family/kid friendly,Washer;78.0;;;1;0;0;7;89.0;10.0;9.0;10.0;10.0;10.0;9.0;flexible;9.0;0.33;Host Has Profile Pic,Is Location Exact,Requires License
6358;2016-02-18;100.0;email,phone,facebook,reviews;Hortaleza;-3.6584456625184703;Private room;2;1.0;1.0;TV,Wireless Internet,Breakfast,Heating,Family/kid friendly,Essentials,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_50;20.0;;;1;0;16;11;87.0;9.0;9.0;9.0;9.0;9.0;9.0;moderate;1.0;2.23;Host Has Profile Pic,Requires License,Instant Bookable
5762;2016-05-17;75.0;email,phone,reviews;Moncloa - Aravaca;-3.7152325754189284;Entire home/apt;4;1.0;1.0;TV,Cable TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Doorman,Elevator in building,Family/kid friendly,Washer,Dryer,Hair dryer;105.0;;30.0;1;0;1;0;;;;;;;;strict;6.0;;Host Has Profile Pic,Requires License,Instant Bookable
8991;2015-11-17;100.0;email,phone,reviews,jumio;Chamartín;-3.674259534511621;Entire home/apt;3;1.0;2.0;TV,Cable TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace;110.0;;20.0;1;0;22;5;76.0;9.0;9.0;9.0;8.0;8.0;8.0;flexible;1.0;0.43;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
347;2014-09-19;100.0;email,phone,reviews;Centro;-3.7105748518135333;Entire home/apt;2;1.0;1.0;TV,Internet,Wireless Internet,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49;50.0;;20.0;1;0;11;7;97.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.0;4.29;Host Has Profile Pic,Is Location Exact,Requires License
9745;2017-02-23;;email,phone,facebook,google,jumio,offline_government_id,government_id;Centro;-3.7125288144416335;Shared room;1;2.0;1.0;TV,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Lock on bedroom door,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;30.0;200.0;30.0;1;0;0;0;;;;;;;;strict;38.0;;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
11707;2013-03-20;100.0;email,phone,reviews,manual_offline;Centro;-3.7026938526253503;Entire home/apt;2;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Private entrance;45.0;;25.0;1;0;0;108;81.0;8.0;8.0;9.0;9.0;10.0;8.0;strict;46.0;4.21;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable
1585;2014-10-08;100.0;email,phone,reviews,jumio;Chamartín;-3.669847303903816;Private room;2;1.5;1.0;TV,Cable TV,Internet,Wireless Internet,Pool,Kitchen,Smoking allowed,Pets allowed,Breakfast,Pets live on this property,Dog(s),Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;50.0;;10.0;1;0;20;26;94.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.0;1.01;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
10953;2015-11-20;100.0;email,phone,reviews;Centro;-3.7005469735679695;Shared room;6;2.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;130.0;100.0;50.0;4;20;0;2;90.0;9.0;10.0;10.0;10.0;10.0;9.0;flexible;5.0;0.17;Host Is Superhost,Host Has Profile Pic,Is Location Exact,Requires License
9574;2013-09-20;100.0;email,phone,reviews,work_email;Tetuán;-3.7017126820066064;Entire home/apt;4;1.0;2.0;Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;80.0;;20.0;1;0;0;11;92.0;9.0;9.0;9.0;10.0;9.0;9.0;flexible;1.0;0.49;Host Has Profile Pic,Is Location Exact,Requires License
3308;2010-07-13;100.0;email,phone,reviews,jumio;Chamberí;-3.7163852545636784;Entire home/apt;4;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Hangers,Hair dryer,Iron;45.0;100.0;20.0;2;15;15;94;83.0;8.0;9.0;9.0;9.0;9.0;8.0;moderate;9.0;1.53;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Require Guest Phone Verification
8384;2014-09-02;94.0;email,phone,facebook,reviews,jumio;Arganzuela;-3.6973536308306976;Private room;4;1.0;1.0;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo;25.0;;;2;10;13;38;96.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;10.0;1.75;Host Has Profile Pic,Host Identity Verified,Requires License
7881;2015-12-30;90.0;email,phone,facebook,reviews;Centro;-3.7056430727390217;Entire home/apt;3;1.0;2.0;Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Breakfast,Elevator in building,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace,Private entrance;50.0;;10.0;1;10;0;3;90.0;10.0;8.0;7.0;10.0;10.0;9.0;moderate;3.0;0.93;Host Has Profile Pic,Requires License
2426;2014-03-31;100.0;email,phone,reviews,jumio;Centro;-3.702516173083689;Entire home/apt;4;1.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;75.0;100.0;20.0;1;0;13;53;90.0;9.0;9.0;9.0;10.0;10.0;9.0;strict;5.0;1.48;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable
10529;2017-02-28;100.0;email,phone;Moncloa - Aravaca;-3.7150132328365015;Private room;2;1.0;1.0;Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Suitable for events,Essentials,Hangers,Hair dryer,translation missing: en.hosting_amenity_50,Private living room;50.0;;;1;0;28;0;;;;;;;;flexible;1.0;;Host Has Profile Pic,Is Location Exact,Requires License
2729;2016-05-10;;email,phone,facebook,reviews,jumio,offline_government_id,government_id;Salamanca;-3.670552096397759;Entire home/apt;4;1.0;2.0;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;70.0;;;1;0;7;0;;;;;;;;moderate;1.0;;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
5189;2012-05-11;100.0;email,phone,facebook,reviews,jumio,work_email;Chamartín;-3.677962265261683;Entire home/apt;2;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Shampoo,24-hour check-in,Hangers,Iron,Laptop friendly workspace;50.0;;25.0;1;0;0;5;88.0;9.0;8.0;10.0;10.0;10.0;8.0;moderate;4.0;0.32;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
13339;2015-03-26;100.0;email,phone,reviews,jumio,government_id;Centro;-3.707179803330311;Private room;2;1.0;1.0;TV,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Safety card,Lock on bedroom door,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Doorman Entry;43.0;200.0;30.0;1;0;7;0;;;;;;;;strict;3.0;;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
4857;2017-03-18;100.0;email,phone,reviews;Fuencarral - El Pardo;-3.7068581923817434;Private room;2;1.0;1.0;TV,Wireless Internet,Pool,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers;42.0;200.0;25.0;1;0;29;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.0;1.0;Host Has Profile Pic,Requires License
2415;2016-08-12;96.0;email,phone,reviews;Centro;-3.6938967646039553;Entire home/apt;2;1.0;0.0;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron;89.0;;;1;0;15;0;;;;;;;;flexible;29.0;;Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable
10202;2012-03-29;100.0;email,phone,facebook,reviews,manual_offline,jumio;Centro;-3.6991520026535247;Entire home/apt;2;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;54.0;100.0;20.0;2;0;7;113;85.0;9.0;9.0;9.0;10.0;9.0;9.0;strict;3.0;2.68;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable
3710;2015-03-31;0.0;email,phone,facebook,reviews;Fuencarral - El Pardo;-3.715150993937328;Private room;1;1.0;1.0;TV,Wireless Internet,Breakfast,Essentials;25.0;;;1;0;30;3;93.0;8.0;8.0;8.0;8.0;8.0;9.0;moderate;2.0;0.15;Host Has Profile Pic,Is Location Exact,Requires License
11456;2015-01-21;;email,phone;Centro;-3.7066740027188536;Private room;1;1.0;1.0;Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Pets live on this property,Heating,Washer,Essentials,Shampoo;25.0;;;1;5;0;0;;;;;;;;flexible;1.0;;Host Has Profile Pic,Is Location Exact,Requires License,Instant Bookable
13890;2013-08-15;100.0;email,phone,reviews;Centro;-3.704405178713575;Private room;2;1.0;1.0;Internet,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;50.0;;;1;0;8;34;95.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.0;4.55;Host Has Profile Pic,Requires License
1863;2014-01-10;100.0;email,phone,reviews,jumio;Chamberí;-3.695005958151692;Private room;3;6.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Breakfast,Elevator in building,Heating,Suitable for events,Washer,Smoke detector,First aid kit,Fire extinguisher,Essentials;45.0;85.0;;1;45;0;0;;;;;;;;strict;10.0;;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License
3852;2016-02-23;100.0;email,phone,reviews;Retiro;-3.6800928708631977;Entire home/apt;8;2.0;3.0;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Iron;150.0;150.0;;1;0;6;0;;;;;;;;moderate;29.0;;Host Has Profile Pic,Is Location Exact,Requires License
3879;2015-05-20;100.0;email,phone,reviews,jumio;Chamartín;-3.6901607432752863;Entire home/apt;2;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;80.0;300.0;20.0;3;15;0;3;80.0;10.0;9.0;8.0;8.0;10.0;8.0;moderate;1.0;0.56;Host Has Profile Pic,Host Identity Verified,Requires License
14356;2014-06-08;100.0;email,phone;Centro;-3.7055358231822906;Private room;2;1.0;1.0;TV,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials;30.0;100.0;15.0;1;15;0;0;;;;;;;;moderate;1.0;;Host Has Profile Pic,Is Location Exact,Requires License
3156;2014-05-14;100.0;email,phone,reviews,jumio;Centro;-3.702077827209861;Private room;2;1.0;1.0;Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer,Essentials,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;35.0;;;1;0;8;140;92.0;9.0;9.0;10.0;10.0;10.0;9.0;flexible;1.0;4.22;Host Has Profile Pic,Host Identity Verified,Is Location Exact,Requires License,Instant Bookable
